iter	Passed	Remaining
0	189	75553
1	375	74792
2	564	74672
3	751	74428
4	938	74162
5	1125	73920
6	1313	73736
7	1510	74017
8	1698	73785
9	1883	73471
10	2070	73219
11	2259	73047
12	2449	72909
13	2638	72743
14	2826	72550
15	3012	72306
16	3200	72108
17	3386	71863
18	3571	71627
19	3759	71430
20	3947	71234
21	4133	71023
22	4321	70831
23	4506	70608
24	4693	70403
25	4879	70185
26	5065	69974
27	5252	69786
28	5440	69596
29	5627	69400
30	5812	69191
31	5999	68995
32	6187	68812
33	6374	68622
34	6565	68466
35	6752	68279
36	6939	68078
37	7127	67897
38	7312	67691
39	7499	67497
40	7687	67314
41	7874	67120
42	8061	66930
43	8252	66771
44	8441	66593
45	8628	66402
46	8815	66206
47	9001	66011
48	9188	65817
49	9375	65627
50	9561	65430
51	9749	65248
52	9937	65063
53	10123	64867
54	10309	64668
55	10497	64485
56	10684	64295
57	10871	64107
58	11059	63919
59	11246	63729
60	11432	63535
61	11619	63347
62	11811	63183
63	11998	62990
64	12185	62800
65	12373	62616
66	12559	62422
67	12747	62237
68	12935	62051
69	13123	61866
70	13311	61682
71	13497	61489
72	13684	61299
73	13872	61114
74	14059	60923
75	14245	60729
76	14431	60537
77	14619	60351
78	14805	60157
79	14992	59968
80	15179	59779
81	15373	59618
82	15561	59434
83	15750	59251
84	15938	59064
85	16124	58874
86	16315	58696
87	16501	58505
88	16688	58317
89	16875	58125
90	17062	57937
91	17250	57751
92	17437	57561
93	17626	57379
94	17815	57198
95	18003	57009
96	18194	56833
97	18385	56656
98	18574	56475
99	18765	56295
100	18954	56112
101	19143	55928
102	19333	55748
103	19524	55569
104	19712	55382
105	19908	55218
106	20098	55036
107	20287	54850
108	20476	54667
109	20668	54490
110	20855	54300
111	21045	54116
112	21234	53932
113	21422	53743
114	21610	53556
115	21798	53368
116	21986	53181
117	22175	52995
118	22364	52811
119	22553	52625
120	22744	52443
121	22933	52257
122	23120	52069
123	23311	51886
124	23500	51700
125	23690	51518
126	23879	51330
127	24068	51145
128	24257	50959
129	24444	50769
130	24634	50585
131	24824	50400
132	25014	50216
133	25204	50033
134	25395	49849
135	25584	49664
136	25776	49483
137	25966	49298
138	26155	49112
139	26348	48932
140	26542	48755
141	26744	48592
142	26942	48421
143	27134	48238
144	27327	48057
145	27522	47881
146	27716	47703
147	27909	47520
148	28100	47336
149	28289	47149
150	28481	46965
151	28677	46788
152	28878	46620
153	29087	46464
154	29290	46297
155	29507	46153
156	29725	46008
157	29927	45838
158	30127	45665
159	30325	45487
160	30528	45319
161	30728	45143
162	30921	44958
163	31111	44770
164	31317	44603
165	31508	44415
166	31700	44228
167	31888	44036
168	32075	43843
169	32264	43652
170	32452	43459
171	32642	43270
172	32832	43080
173	33025	42895
174	33214	42703
175	33403	42513
176	33605	42339
177	33798	42152
178	34016	41998
179	34210	41812
180	34400	41622
181	34605	41450
182	34794	41258
183	34986	41071
184	35180	40884
185	35367	40691
186	35557	40500
187	35747	40310
188	35934	40117
189	36124	39926
190	36314	39736
191	36503	39545
192	36693	39354
193	36883	39164
194	37074	38975
195	37267	38788
196	37458	38599
197	37657	38417
198	37848	38229
199	38040	38040
200	38240	37859
201	38433	37672
202	38626	37484
203	38819	37297
204	39009	37107
205	39200	36917
206	39394	36730
207	39590	36544
208	39782	36356
209	39994	36185
210	40186	35996
211	40386	35814
212	40589	35635
213	40779	35444
214	40972	35255
215	41163	35065
216	41352	34873
217	41544	34683
218	41742	34499
219	41933	34309
220	42125	34119
221	42317	33930
222	42506	33738
223	42695	33546
224	42884	33354
225	43073	33162
226	43264	32972
227	43454	32781
228	43644	32590
229	43834	32399
230	44022	32206
231	44213	32016
232	44403	31825
233	44597	31637
234	44784	31444
235	44973	31252
236	45165	31062
237	45362	30876
238	45550	30684
239	45740	30493
240	45928	30301
241	46117	30109
242	46308	29919
243	46497	29728
244	46688	29537
245	46879	29347
246	47067	29155
247	47258	28964
248	47448	28773
249	47638	28583
250	47828	28392
251	48017	28200
252	48206	28009
253	48396	27818
254	48585	27626
255	48774	27435
256	48964	27244
257	49153	27053
258	49346	26864
259	49535	26672
260	49727	26483
261	49921	26294
262	50111	26103
263	50302	25913
264	50491	25722
265	50683	25532
266	50873	25341
267	51061	25149
268	51249	24958
269	51439	24767
270	51630	24576
271	51820	24386
272	52008	24194
273	52198	24003
274	52388	23812
275	52575	23621
276	52766	23430
277	52957	23240
278	53142	23047
279	53333	22857
280	53523	22666
281	53714	22476
282	53904	22285
283	54092	22094
284	54284	21904
285	54488	21719
286	54683	21530
287	54876	21340
288	55066	21150
289	55260	20960
290	55453	20771
291	55645	20581
292	55843	20393
293	56045	20206
294	56242	20018
295	56435	19828
296	56627	19638
297	56817	19447
298	57007	19256
299	57197	19065
300	57386	18874
301	57578	18684
302	57769	18493
303	57959	18302
304	58149	18112
305	58344	17922
306	58537	17732
307	58729	17542
308	58918	17351
309	59109	17160
310	59303	16970
311	59495	16780
312	59686	16590
313	59877	16399
314	60065	16208
315	60255	16017
316	60447	15826
317	60637	15636
318	60827	15445
319	61022	15255
320	61212	15064
321	61400	14873
322	61590	14682
323	61777	14491
324	61966	14299
325	62160	14110
326	62362	13921
327	62553	13731
328	62742	13540
329	62930	13348
330	63120	13158
331	63312	12967
332	63504	12777
333	63694	12586
334	63882	12395
335	64071	12204
336	64262	12013
337	64452	11822
338	64640	11631
339	64835	11441
340	65024	11250
341	65214	11059
342	65403	10868
343	65595	10678
344	65787	10487
345	65978	10297
346	66172	10106
347	66363	9916
348	66554	9725
349	66747	9535
350	66942	9345
351	67132	9154
352	67327	8964
353	67518	8773
354	67711	8583
355	67900	8392
356	68091	8201
357	68281	8010
358	68469	7819
359	68666	7629
360	68856	7438
361	69045	7247
362	69235	7057
363	69429	6866
364	69623	6676
365	69813	6485
366	70003	6294
367	70194	6103
368	70386	5913
369	70578	5722
370	70782	5532
371	70988	5343
372	71176	5152
373	71365	4961
374	71555	4770
375	71753	4580
376	71958	4390
377	72151	4199
378	72342	4008
379	72537	3817
380	72726	3626
381	72915	3435
382	73116	3245
